        Treap       Skiplist        Hash table
2^10	0	        0.015625	    0
2^11	0	        0.015625	    0
2^12	0	        0.046875	    0
2^13	0	        0.109375	    0.015625
2^14	0.015625    0.1875	        0.015625
2^15	0.015625    0.375	        0.015625
2^16	0.03125	    0.734375	    0.015625
2^17	0.078125    1.5	            0.046875
2^18	0.234375    3.0625	        0.078125
2^19	0.578125    6.3125	        0.171875
2^20	1.4375	    12.9688	        0.34375
2^21	3.34375	    26.5938	        0.71875
2^22	7.65625	    54.7969	        1.45312
2^23	17.9219	    113.766	        3.0625
2^24	46.2656	    236.406	        6.59375
2^25	100.453	    482.906	        14.0469
2^26	230.969	    994.172	        29.4688
2^27	515.109	    2059.7	        64.8125
2^28	899.6832712	5599.53	        224.031
2^29	1571.376133	11623.04655	    374.92941
2^30	2744.54692	24126.16971	    627.467
