	    Treap	    Skiplist	Sorted array    Hash table
2^10	0.03125	    0.015625	0               0.015625
2^11	0.03125	    0.046875	0               0.015625
2^12	0.03125	    0.03125	    0               0.015625
2^13	0.046875	0.03125	    0               0
2^14	0.046875	0.0625	    0               0
2^15	0.046875	0.0625	    0.015625        0.015625
2^16	0.078125	0.09375	    0.015625        0.015625
2^17	0.09375	    0.09375	    0.015625        0.015625
2^18	0.125	    0.125	    0.015625        0.03125
2^19	0.140625	0.171875	0.046875        0.03125
2^20	0.1875	    0.1875	    0.09375         0.03125
2^21	0.21875	    0.234375	0.075           0.03125
2^22	0.21875	    0.265625	0.06            0.03125
2^23	0.25	    0.328125	0.048           0.03125
2^24	0.296875	0.375	    0.0384          0.03125
2^25	0.359375	0.421875	0.03072         0.046875
2^26	0.390625	0.46875	    0.024576        0.046875
2^27	0.421875	0.53125	    0.0196608       0.046875
2^28	0.497138492	0.690526192	0.01572864      0.296875
2^29	0.585829168	0.897555616	0.012582912
2^30	0.69034247	1.166655363	0.01006633

